"State","Land Use & Land Use Change Categories","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Connecticut","WF",0.97,0.97,0.97,0.97,0.82,0.82,0.82,0.82,0.82,0.82,0.84,0.84,0.84,0.84,0.84,0.84,1.02,1.02,1.02,1.02,1.02,0.87,0.87,0.87,0.87,0.87,0.87,0.92,0.92,0.92,0.92,0.92,0.92
"Connecticut","Total Forest Land Converted to Land",1.54,1.54,1.54,1.54,1.24,1.24,1.24,1.24,1.24,1.24,1.19,1.19,1.19,1.19,1.19,1.19,1.37,1.37,1.37,1.37,1.37,1.22,1.22,1.22,1.22,1.22,1.22,1.24,1.24,1.24,1.24,1.24,1.24
"Connecticut","FC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Connecticut","FG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Connecticut","FO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
"Connecticut","FS",0.77,0.77,0.77,0.77,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.63,0.63,0.63,0.63,0.63,0.75,0.75,0.75,0.75,0.75,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.63,0.63,0.63
"Connecticut","FW",0.76,0.76,0.76,0.76,0.6,0.6,0.6,0.6,0.6,0.6,0.56,0.56,0.56,0.56,0.56,0.56,0.61,0.61,0.61,0.61,0.61,0.54,0.54,0.54,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.55
"Delaware","Total Forest Land",156.56,156.03,155.51,154.98,154.44,153.9,153.36,152.82,152.28,151.74,151.19,150.65,150.1,149.56,149.01,148.46,147.82,147.17,146.52,145.87,145.22,144.55,143.87,143.2,142.52,141.85,141.18,140.52,139.86,139.2,138.55,137.89,137.23
"Delaware","FF",156.5,155.97,155.44,154.92,154.38,153.84,153.3,152.76,152.22,151.68,151.13,150.59,150.04,149.5,148.95,148.4,147.75,147.1,146.45,145.8,145.15,144.49,143.82,143.14,142.47,141.79,141.12,140.46,139.8,139.15,138.49,137.83,137.17
"Delaware","Total Land Converted to Forest Land",0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
"Delaware","CF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delaware","GF",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0
"Delaware","OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delaware","SF",0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"Delaware","WF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delaware","Total Forest Land Converted to Land",0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.61,0.61,0.61,0.61,0.61,0.61,0.72,0.72,0.72,0.72,0.72,0.73,0.73,0.73,0.73,0.73,0.73,0.71,0.71,0.71,0.71,0.71,0.71
"Delaware","FC",0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06
